11  3   0   10  0
3   3   0   4   0
3   4   0   6   0
3   1   0   7   0
1   1   0   2   0
1   4   0   8   0
12  3   0   14  0
14  3   0   15  0
12  12  0   13  0
17  3   0   18  0
18  3   0   24  0
18  7   0   25  0
19  19  0   20  0
19  20  0   21  0
19  21  0   22  0
20  20  0   22  0
22  22  0   23  0
19  11  0   27  0
5   10  0   10  3
7   7   0   9   1
2   7   0   9   1
2   3   0   7   1
3   7   0   4   1
8   3   0   7   4
11  7   0   10  1
14  8   0   15  7
15  17  0   18  14
3   27  0   11  17
17  8   0   18  7
24  3   0   18  4
24  17  0   18  18
25  4   0   8   24
24  9   9   26  9
19  4   0   17  3
17  17  0   19  18
27  19  0   11  20
